Frontier-arbiter rule simulation — 1489 stored turns from 4 duels (dropped {'lt3_frontier': 70, 'no_greedy': 18, 'no_echo': 23}); frontier = engy glm-5.2 (3 samples @T0.8 + greedy); teacher echoes only, tau=0.03
new-attack echo subset: 203 turns, 8130 Engy teacher echoes (qwen3.8-27b, canonical rendering), $2.07 (7426 echoes / $1.89 recorded by completed runs; the rest priced at that rate) (honest king re-echoed on the same turns so attack comparisons are same-source)

DEFINITIONS
  gate <method>/<F>: F disagrees when its action differs from ALL k teacher refs — exact (norm_action), jacθ (best token-Jaccard < θ),
    surθ (lpC(y_F|∅) < min_i lpC(y_C^i|∅) − θ per byte); F = G (one greedy sample) or S (3 samples @T0.8, strict majority must disagree).
  agree branch = live min(R,G), band_c 4.0 (live_c2 = the stored era's 2.0); disagree branch = the alt:
    act:<sim>:<s> = [mean_j sim(y_A,y_F^j) − mean_ij sim(y_C^i,y_F^j)] × s × sd(live turn scores of the dialect); sim jaccard or exact (0/1)
    RF = centered tempered LME_j[lpC(y_F^j|z_A) − lpC(y_F^j|∅)]; V = mean_j f_j − mean_i a_i; AF = LME_j[lpC(y_A|z_F^j) − lpC(y_A|∅)]
    minRFG = min(RF, G); minVG = min(V, G). Echo-space alts always use the 3 sampled F refs; act uses the gate's F set.
  |sd = every leg standardised per dialect by (mu, sd) of the TEACHER's own leave-one-out values (R, RF, V, act; AF anchored on king+challenger,
    no teacher_own echo exists); thought leg = 2 − |m − mean(t_i)|/sigma_t with sigma_t = pooled within-turn sd of t_i per dialect.
    No cross echoes lpC(y_C^i|z_C^j), i≠j, exist in this data, so the anchor is the teacher's ref-0 thought on refs 1..2 (one LOO value per turn).
  wB_<mode>/<F> = variant B: teacher refs weighted by mean Jaccard to the F set (softmax at T or hard 1[sim≥0.5]); R = weighted centered LME, G from weighted mu/sd.
  HEADROOM (leave-one-out: ref 0 and F sample 0 dropped everywhere, so every family is scored on k−1=2 teacher refs and 2 F refs):
    mean turn score per family; z(F−T) = paired mean(F_own − T_own)/SE; z(T−K) likewise; dis% = disagree-branch rate on the LOO gate.
  NOISE (full refs, live pairing): margin = mean(chal − king); SE = sd/√n; z = margin/SE; bSE/live = bootstrap SE ÷ that of the same-units
    live rule (live_c4 raw, live_sd sd); |z|/|z0| = |z| ÷ |z of live_c4| (how much of the live separation of these losing challengers survives);
    rho = Spearman of per-turn (chal − king) vs live_c4; dis% = gate rate; varD = share of Σ(d−d̄)² carried by disagree turns.
    minAG = min(act:jaccard:1, G), minAFG = min(AF, G): G (or typ) still bounds the disagree branch.
  ATTACKS (king's thought or action replaced): ≤king% = turns where attack ≤ honest king (ties count); harmless if ≥ 85%. '=' = exact-tie share.
    filler/generic/parrot(sampled y_F^0 pasted): stored swarm echoes, all turns. fparrotG (greedy y_F pasted into the thought), copyF (action := greedy y_F),
    lscmd/catcmd (action := `ls -la` / `cat <first file in prefix>`, bash only): Engy echoes on the subset; copyF/ls/cat on ALL turns for action-space alts.

== GATE RATES (fraction of turns where F disagrees with all teacher refs) ==
set            n    exact/G    exact/S   jac0.5/G   jac0.5/S   jac0.3/S  sur0.02/G  sur0.02/S   jac0.3/G   | yG=any yF  yG~yF  F self  C self  C~F  F all same
ALL         1489      73.6%      73.9%      34.6%      34.7%      21.2%      22.8%      23.2%      21.4%   |      54%   0.71    0.69    0.61  0.51      28%
bash         992      80.5%      81.4%      45.2%      45.9%      30.3%      21.0%      19.8%      30.3%   |      54%   0.66    0.63    0.53  0.41      24%
boxed        156       7.1%       5.1%       0.0%       0.0%       0.0%       6.4%       5.8%       0.0%   |      98%   0.98    0.98    0.99  0.98      87%
tool_call    341      83.9%      83.6%      19.6%      18.2%       4.4%      35.5%      41.1%       5.3%   |      36%   0.74    0.70    0.68  0.62      11%
  (yG=any yF: greedy action exactly equals one of the 3 samples; ~: mean token-Jaccard; self = sample 0 vs samples 1..2)

== TEST 1 HEADROOM (leave-one-out; the arbiter's point is F_own > T_own) ==
-- ALL --
rule                            F_own    T_own     king     chal  z(F-T)  F>T%  z(T-K)  z(F-K)  dis%
jac0.5/S|act:jaccard:1        -0.0075  +0.0005  -0.0010  -0.0250   -7.39   46%   +2.35   -6.22   33%
jac0.5/S|act:jaccard:2        -0.0021  +0.0015  +0.0007  -0.0228   -2.62   46%   +1.01   -2.10   33%
jac0.5/S|act:exact:1          -0.0102  -0.0003  -0.0024  -0.0269   -9.81   32%   +3.72   -7.92   33%
jac0.5/S|minAG                -0.0156  -0.0017  -0.0041  -0.0371  -12.84   41%   +3.75  -10.68   33%
jac0.5/S|RF                   -0.0092  +0.0041  +0.0011  -0.0232  -13.49   34%   +4.76  -10.58   33%
jac0.5/S|V                    +0.0013  -0.0217  -0.0182  -0.0430   +8.05   49%   -2.27   +7.17   33%
jac0.5/S|AF                       nan      nan  -0.0052  -0.0297     nan  nan%     nan     nan   33%
jac0.5/S|minRFG               -0.0162  +0.0003  -0.0031  -0.0362  -15.86   34%   +5.39  -12.66   33%
jac0.5/S|minVG                -0.0142  -0.0246  -0.0226  -0.0560   +4.37   46%   -1.60   +3.74   33%
jac0.5/S|minAFG                   nan      nan  -0.0086  -0.0417     nan  nan%     nan     nan   33%
jac0.3/S|act:jaccard:0.5      -0.0130  +0.0001  -0.0023  -0.0343  -12.82   41%   +3.91  -10.76   20%
jac0.3/S|act:jaccard:1        -0.0114  +0.0003  -0.0019  -0.0338  -10.93   41%   +3.46   -9.16   20%
jac0.3/S|act:jaccard:2        -0.0082  +0.0008  -0.0011  -0.0327   -7.27   41%   +2.51   -6.02   20%
jac0.3/S|act:exact:1          -0.0129  +0.0000  -0.0025  -0.0347  -12.51   34%   +4.26  -10.24   20%
jac0.3/S|minAG                -0.0158  -0.0008  -0.0036  -0.0367  -14.18   38%   +4.35  -11.65   20%
jac0.3/S|RF                   -0.0123  +0.0028  -0.0004  -0.0325  -14.71   34%   +5.03  -11.61   20%
jac0.3/S|V                    -0.0040  -0.0181  -0.0163  -0.0488   +5.09   43%   -1.28   +4.75   20%
jac0.3/S|AF                       nan      nan  -0.0048  -0.0371     nan  nan%     nan     nan   20%
jac0.3/S|minRFG               -0.0163  +0.0002  -0.0030  -0.0363  -15.87   33%   +5.05  -12.84   20%
jac0.3/S|minVG                -0.0149  -0.0197  -0.0191  -0.0526   +2.14   41%   -0.51   +2.02   20%
jac0.3/S|minAFG                   nan      nan  -0.0068  -0.0402     nan  nan%     nan     nan   20%
sur0.02/G|act:jaccard:0.5     -0.0088  +0.0011  -0.0008  -0.0268   -9.81   42%   +3.17   -8.09   27%
sur0.02/G|act:jaccard:1       -0.0065  +0.0012  -0.0004  -0.0264   -6.59   42%   +2.13   -5.37   27%
sur0.02/G|act:jaccard:2       -0.0019  +0.0012  +0.0004  -0.0256   -1.95   42%   +0.76   -1.46   27%
sur0.02/G|act:exact:1         -0.0075  +0.0012  -0.0011  -0.0266   -7.30   30%   +4.12   -5.44   27%
sur0.02/G|minAG               -0.0156  -0.0009  -0.0033  -0.0370  -13.35   37%   +3.40  -11.14   27%
sur0.02/G|RF                  -0.0082  +0.0046  +0.0018  -0.0240  -12.91   35%   +4.56  -10.20   27%
sur0.02/G|V                   -0.0039  -0.0106  -0.0083  -0.0329   +2.98   45%   -1.64   +2.31   27%
sur0.02/G|AF                      nan      nan  +0.0050  -0.0205     nan  nan%     nan     nan   27%
sur0.02/G|minRFG              -0.0156  +0.0014  -0.0019  -0.0354  -16.08   33%   +5.08  -13.07   27%
sur0.02/G|minVG               -0.0156  -0.0123  -0.0116  -0.0448   -1.88   41%   -0.65   -2.53   27%
sur0.02/G|minAFG                  nan      nan  -0.0035  -0.0375     nan  nan%     nan     nan   27%
sur0.02/S|act:jaccard:0.5     -0.0099  +0.0009  -0.0010  -0.0240  -10.82   42%   +3.06   -9.07   18%
sur0.02/S|act:jaccard:1       -0.0085  +0.0009  -0.0009  -0.0239   -8.50   42%   +2.36   -7.22   18%
sur0.02/S|act:jaccard:2       -0.0057  +0.0009  -0.0005  -0.0237   -4.55   42%   +1.27   -3.94   18%
sur0.02/S|act:exact:1         -0.0099  +0.0009  -0.0012  -0.0238  -10.35   33%   +3.33   -8.42   18%
sur0.02/S|minAG               -0.0158  -0.0004  -0.0030  -0.0369  -13.83   38%   +3.67  -11.82   18%
sur0.02/S|RF                  -0.0096  +0.0029  +0.0003  -0.0221  -12.74   35%   +4.08  -10.14   18%
sur0.02/S|V                   -0.0051  -0.0088  -0.0065  -0.0284   +1.71   43%   -1.63   +0.77   18%
sur0.02/S|AF                      nan      nan  +0.0020  -0.0210     nan  nan%     nan     nan   18%
sur0.02/S|minRFG              -0.0159  +0.0009  -0.0022  -0.0358  -15.86   33%   +4.75  -13.09   18%
sur0.02/S|minVG               -0.0154  -0.0102  -0.0097  -0.0430   -3.05   40%   -0.49   -3.71   18%
sur0.02/S|minAFG                  nan      nan  -0.0034  -0.0372     nan  nan%     nan     nan   18%
exact/S|act:jaccard:1|sd      +0.5574  -0.0120  +0.0354  -0.0574  +12.86   61%   -1.54  +11.95   71%
exact/S|minAG|sd              -0.3837  -0.1270  -0.1683  -1.1360   -6.35   47%   +1.56   -5.31   71%
exact/S|V|sd                  +0.2591  -0.1171  +0.0041  -0.0492   +9.19   63%   -4.53   +6.86   71%
exact/S|minRFG|sd             -0.7145  -0.1865  -0.2846  -1.2257  -16.58   31%   +5.58  -13.28   71%
exact/S|minVG|sd              -0.3753  -0.2102  -0.1748  -1.1145   -3.74   49%   -1.49   -4.64   71%
jac0.5/G|act:jaccard:1|sd     +0.0709  -0.0454  -0.0810  -0.7560   +2.51   46%   +1.50   +3.31   40%
jac0.5/G|minAG|sd             -0.4801  -0.1181  -0.1912  -1.1231   -9.97   42%   +3.71   -7.84   40%
jac0.5/G|V|sd                 -0.1988  -0.2172  -0.1977  -0.8830   +0.43   51%   -0.88   -0.03   40%
jac0.5/G|minRFG|sd            -0.7003  -0.1676  -0.2727  -1.2165  -16.68   33%   +5.94  -13.19   40%
jac0.5/G|minVG|sd             -0.4760  -0.2595  -0.2796  -1.2168   -5.21   45%   +0.95   -4.79   40%
sur0.02/S|act:jaccard:1|sd    -0.3463  -0.1267  -0.1737  -0.8269   -5.68   42%   +2.06   -4.62   18%
sur0.02/S|minAG|sd            -0.6401  -0.1449  -0.2313  -1.2030  -14.30   37%   +4.33  -11.85   18%
sur0.02/S|V|sd                -0.4139  -0.2004  -0.1929  -0.8138   -5.28   43%   -0.29   -6.12   18%
sur0.02/S|minRFG|sd           -0.7058  -0.1562  -0.2496  -1.2023  -16.97   33%   +5.12  -13.95   18%
sur0.02/S|minVG|sd            -0.6364  -0.2178  -0.2575  -1.2112  -11.14   39%   +1.85  -10.42   18%
wB_soft0.1/G                  -0.0182  -0.0021  -0.0053  -0.0386  -15.42   34%   +4.91  -12.62    0%  collapse 22%
wB_soft0.3/G                  -0.0172  -0.0003  -0.0034  -0.0370  -15.75   34%   +4.75  -13.10    0%  collapse 4%
wB_hard0.5/G                  -0.0259  -0.0074  -0.0108  -0.0450  -15.88   34%   +4.80  -12.95    0%  collapse 18%
wB_soft0.1/S                  -0.0181  -0.0018  -0.0049  -0.0384  -15.68   34%   +4.87  -12.82    0%  collapse 19%
wB_soft0.3/S                  -0.0171  -0.0001  -0.0033  -0.0370  -15.89   34%   +4.91  -13.11    0%  collapse 4%
wB_hard0.5/S                  -0.0255  -0.0067  -0.0102  -0.0444  -15.85   34%   +4.83  -13.04    0%  collapse 17%

-- bash --
rule                            F_own    T_own     king     chal  z(F-T)  F>T%  z(T-K)  z(F-K)  dis%
live_c2                       -0.0157  -0.0043  -0.0059  -0.0073   -9.97   39%   +1.92   -8.31    0%
live_c4                       -0.0063  +0.0023  +0.0011  -0.0003   -8.49   41%   +1.61   -7.29    0%
live_sd                       -0.3865  -0.2040  -0.2204  -0.2374   -7.25   42%   +0.87   -6.30    0%
exact/G|act:jaccard:0.5       +0.0015  +0.0010  +0.0010  +0.0010   +0.86   64%   -0.15   +0.78   83%
exact/G|act:jaccard:1         +0.0044  +0.0013  +0.0014  +0.0014   +4.87   64%   -0.24   +4.75   83%
exact/G|act:jaccard:2         +0.0103  +0.0019  +0.0021  +0.0022  +10.00   64%   -0.34   +9.80   83%
exact/G|act:exact:1           +0.0042  +0.0013  +0.0018  +0.0016   +4.35   29%   -1.12   +3.70   83%
exact/G|minAG                 -0.0075  -0.0036  -0.0040  -0.0048   -3.99   54%   +0.56   -3.61   83%
exact/G|RF                    +0.0067  +0.0109  +0.0098  +0.0099   -5.12   41%   +1.75   -3.75   83%
exact/G|V                     +0.0240  -0.0381  -0.0287  -0.0281  +15.93   73%   -4.06  +13.89   83%
exact/G|AF                        nan      nan  -0.0017  -0.0011     nan  nan%     nan     nan   83%
exact/G|minRFG                -0.0073  +0.0015  -0.0002  -0.0009   -8.88   38%   +2.38   -7.13   83%
exact/G|minVG                 -0.0043  -0.0446  -0.0368  -0.0374  +12.53   67%   -4.03  +10.64   83%
exact/G|minAFG                    nan      nan  -0.0113  -0.0114     nan  nan%     nan     nan   83%
exact/S|act:jaccard:0.5       +0.0005  +0.0004  +0.0007  +0.0008   +0.16   68%   -0.69   -0.30   79%
exact/S|act:jaccard:1         +0.0032  +0.0006  +0.0010  +0.0012   +3.84   68%   -0.94   +3.26   79%
exact/S|act:jaccard:2         +0.0085  +0.0010  +0.0016  +0.0019   +9.20   68%   -1.24   +8.41   79%
exact/S|act:exact:1           +0.0027  +0.0008  +0.0013  +0.0013   +2.83   33%   -1.33   +2.01   79%
exact/S|minAG                 -0.0076  -0.0036  -0.0040  -0.0047   -4.13   56%   +0.67   -3.68   79%
exact/S|RF                    +0.0055  +0.0095  +0.0084  +0.0087   -4.90   41%   +1.78   -3.53   79%
exact/S|V                     +0.0235  -0.0375  -0.0278  -0.0274  +15.67   72%   -4.18  +13.55   79%
exact/S|AF                        nan      nan  -0.0029  -0.0027     nan  nan%     nan     nan   79%
exact/S|minRFG                -0.0074  +0.0014  -0.0006  -0.0010   -8.96   37%   +2.68   -7.00   79%
exact/S|minVG                 -0.0038  -0.0436  -0.0358  -0.0365  +12.38   66%   -4.07  +10.46   79%
exact/S|minAFG                    nan      nan  -0.0117  -0.0119     nan  nan%     nan     nan   79%
jac0.5/G|act:jaccard:0.5      -0.0014  +0.0013  +0.0011  +0.0005   -3.21   55%   +0.30   -3.10   51%
jac0.5/G|act:jaccard:1        +0.0011  +0.0017  +0.0015  +0.0010   -0.71   55%   +0.27   -0.53   51%
jac0.5/G|act:jaccard:2        +0.0060  +0.0025  +0.0024  +0.0019   +3.45   55%   +0.22   +3.68   51%
jac0.5/G|act:exact:1          -0.0004  +0.0013  +0.0011  +0.0004   -1.95   33%   +0.31   -1.78   51%
jac0.5/G|minAG                -0.0064  -0.0011  -0.0019  -0.0028   -5.25   49%   +1.07   -4.54   51%
jac0.5/G|RF                   +0.0025  +0.0092  +0.0078  +0.0072   -6.77   40%   +1.80   -5.45   51%
jac0.5/G|V                    +0.0180  -0.0320  -0.0239  -0.0244  +12.79   63%   -3.65  +11.15   51%
jac0.5/G|AF                       nan      nan  -0.0028  -0.0026     nan  nan%     nan     nan   51%
jac0.5/G|minRFG               -0.0063  +0.0027  +0.0007  -0.0001   -8.85   39%   +2.65   -6.95   51%
jac0.5/G|minVG                -0.0036  -0.0363  -0.0302  -0.0309  +10.25   58%   -3.39   +8.85   51%
jac0.5/G|minAFG                   nan      nan  -0.0088  -0.0087     nan  nan%     nan     nan   51%
jac0.5/S|act:jaccard:0.5      -0.0027  +0.0009  +0.0009  +0.0001   -4.12   56%   -0.01   -4.30   43%
jac0.5/S|act:jaccard:1        -0.0006  +0.0012  +0.0013  +0.0006   -1.97   56%   -0.27   -2.23   43%
jac0.5/S|act:jaccard:2        +0.0036  +0.0018  +0.0022  +0.0016   +1.81   56%   -0.73   +1.39   43%
jac0.5/S|act:exact:1          -0.0018  +0.0009  +0.0009  +0.0001   -2.95   38%   +0.03   -3.04   43%
jac0.5/S|minAG                -0.0063  -0.0010  -0.0015  -0.0025   -5.32   50%   +0.80   -4.79   43%
jac0.5/S|RF                   +0.0006  +0.0073  +0.0061  +0.0055   -6.84   40%   +1.76   -5.60   43%
jac0.5/S|V                    +0.0158  -0.0308  -0.0234  -0.0247  +11.82   60%   -3.35  +10.36   43%
jac0.5/S|AF                       nan      nan  -0.0032  -0.0042     nan  nan%     nan     nan   43%
jac0.5/S|minRFG               -0.0065  +0.0021  +0.0004  -0.0004   -8.70   40%   +2.41   -6.95   43%
jac0.5/S|minVG                -0.0037  -0.0345  -0.0288  -0.0304   +9.61   57%   -3.15   +8.32   43%
jac0.5/S|minAFG                   nan      nan  -0.0078  -0.0087     nan  nan%     nan     nan   43%
jac0.3/S|act:jaccard:0.5      -0.0035  +0.0016  +0.0010  +0.0001   -5.52   51%   +0.85   -5.07   28%
jac0.3/S|act:jaccard:1        -0.0019  +0.0019  +0.0013  +0.0005   -3.89   51%   +0.75   -3.47   28%
jac0.3/S|act:jaccard:2        +0.0014  +0.0023  +0.0020  +0.0012   -0.88   51%   +0.53   -0.54   28%
jac0.3/S|act:exact:1          -0.0028  +0.0016  +0.0010  +0.0001   -4.65   40%   +1.00   -4.06   28%
jac0.3/S|minAG                -0.0060  +0.0005  -0.0006  -0.0015   -6.41   46%   +1.42   -5.42   28%
jac0.3/S|RF                   -0.0016  +0.0057  +0.0041  +0.0033   -7.51   40%   +2.22   -5.81   28%
jac0.3/S|V                    +0.0108  -0.0257  -0.0200  -0.0215   +9.54   54%   -2.76   +8.61   28%
jac0.3/S|AF                       nan      nan  -0.0025  -0.0037     nan  nan%     nan     nan   28%
jac0.3/S|minRFG               -0.0066  +0.0021  +0.0004  -0.0005   -8.73   40%   +2.15   -7.14   28%
jac0.3/S|minVG                -0.0045  -0.0279  -0.0239  -0.0252   +7.65   52%   -2.41   +6.83   28%
jac0.3/S|minAFG                   nan      nan  -0.0053  -0.0064     nan  nan%     nan     nan   28%
sur0.02/G|act:jaccard:0.5     -0.0034  +0.0030  +0.0018  +0.0006   -6.64   46%   +1.79   -5.52   26%
sur0.02/G|act:jaccard:1       -0.0026  +0.0031  +0.0018  +0.0007   -5.70   46%   +1.82   -4.55   26%
sur0.02/G|act:jaccard:2       -0.0008  +0.0032  +0.0019  +0.0008   -3.84   46%   +1.85   -2.66   26%
sur0.02/G|act:exact:1         -0.0027  +0.0031  +0.0018  +0.0007   -5.82   36%   +1.82   -4.67   26%
sur0.02/G|minAG               -0.0062  +0.0014  +0.0002  -0.0011   -7.52   44%   +1.62   -6.35   26%
sur0.02/G|RF                  -0.0005  +0.0076  +0.0057  +0.0046   -7.73   40%   +2.49   -5.94   26%
sur0.02/G|V                   +0.0049  -0.0122  -0.0091  -0.0099   +6.01   50%   -1.90   +5.44   26%
sur0.02/G|AF                      nan      nan  +0.0029  +0.0011     nan  nan%     nan     nan   26%
sur0.02/G|minRFG              -0.0058  +0.0036  +0.0019  +0.0006   -9.02   39%   +2.15   -7.49   26%
sur0.02/G|minVG               -0.0056  -0.0139  -0.0114  -0.0130   +3.73   49%   -1.78   +2.91   26%
sur0.02/G|minAFG                  nan      nan  -0.0007  -0.0028     nan  nan%     nan     nan   26%
sur0.02/S|act:jaccard:0.5     -0.0039  +0.0026  +0.0017  +0.0006   -6.64   47%   +1.27   -5.80   16%
sur0.02/S|act:jaccard:1       -0.0032  +0.0027  +0.0017  +0.0006   -5.95   47%   +1.27   -5.11   16%
sur0.02/S|act:jaccard:2       -0.0020  +0.0027  +0.0018  +0.0007   -4.57   47%   +1.27   -3.72   16%
